run_id,run_dir,phase,market,interval,codebook_size,split_family,split_index,split_seed,train_symbols,val_symbols,test_symbols,train_candles,val_candles,test_candles,shape_val_train_l1,shape_test_train_l1,shape_val_train_max_diff,shape_test_train_max_diff,shape_train_entropy,shape_val_entropy,shape_test_entropy,shape_train_mean_sc,shape_val_mean_sc,shape_test_mean_sc,range_val_train_l1,range_test_train_l1,range_val_train_max_diff,range_test_train_max_diff,range_train_entropy,range_val_entropy,range_test_entropy,pair_val_train_l1,pair_test_train_l1,pair_val_train_max_diff,pair_test_train_max_diff,pair_train_entropy,pair_val_entropy,pair_test_entropy,kmeans_shape_val_train_l1,kmeans_shape_test_train_l1,kmeans_pair_val_train_l1,kmeans_pair_test_train_l1,kmeans_inertia_per_sample,kmeans_shape_mean_sc_train,kmeans_shape_mean_sc_val,kmeans_shape_mean_sc_test,notes
phase_1b_shape_token_range_bucket_NASDAQ_1m_k12,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b_shape_token_range_bucket_NASDAQ_1m_k12,1B,NASDAQ,1m,12,manual_stress,0,42,"[""AAPL"", ""MSFT"", ""NVDA"", ""TSLA"", ""AMZN"", ""META"", ""GOOGL""]","[""AMD""]","[""INTC"", ""RKLB""]",84000,12000,24000,0.12599999999999997,0.05979761904761905,0.02172619047619047,0.012071428571428566,3.454119,3.418315,3.430039,0.194038,0.195089,0.194481,0.8533333333333334,1.0570000000000002,0.23158333333333336,0.35541666666666666,2.484184,2.215686,2.032521,0.8929761904761905,1.0636309523809524,0.03808333333333333,0.05861904761904762,5.885284,5.584211,5.404611,0.10983333333333334,0.056749999999999946,0.892095238095238,1.0644404761904762,0.04862620035807292,,,,
phase_1b_shape_token_range_bucket_NASDAQ_1m_k12_a,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b_shape_token_range_bucket_NASDAQ_1m_k12_a,1B,NASDAQ,1m,12,manual_stress,1,42,"[""AAPL"", ""MSFT"", ""NVDA"", ""TSLA"", ""AMZN"", ""META"", ""GOOGL""]","[""AVGO""]","[""NFLX"", ""PLTR""]",84000,12000,24000,0.21588095238095237,0.09764285714285714,0.040214285714285716,0.02175595238095238,3.454119,3.475577,3.499401,0.194038,0.191329,0.193256,0.4121666666666667,0.20450000000000002,0.10524999999999998,0.06862500000000002,2.484184,2.500359,2.52351,0.5201666666666667,0.27209523809523806,0.040214285714285716,0.02175595238095238,5.885284,5.776215,5.901226,0.17302380952380952,0.07853571428571432,0.49473809523809525,0.2683690476190476,0.04862620326450893,,,,
phase_1b_shape_token_range_bucket_NASDAQ_1m_k12_b,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b_shape_token_range_bucket_NASDAQ_1m_k12_b,1B,NASDAQ,1m,12,manual_stress,2,42,"[""AAPL"", ""MSFT"", ""NVDA"", ""TSLA"", ""AMZN"", ""META"", ""GOOGL"", ""AMD"", ""INTC""]","[""RKLB"", ""AVGO""]","[""NFLX"", ""PLTR""]",108000,24000,24000,0.1537777777777778,0.1129722222222222,0.02547685185185186,0.02347685185185185,3.443387,3.453869,3.484106,0.197148,0.195662,0.197036,0.5175833333333334,0.10666666666666667,0.12266666666666667,0.031374999999999986,2.484184,2.477817,2.43644,0.5758518518518518,0.17699074074074073,0.02364351851851852,0.02347685185185185,5.885838,5.792389,5.816694,0.13170370370370368,0.09519444444444443,0.56925,0.1773888888888889,0.04836895073784722,,,,
phase_1b_shape_token_range_bucket_NASDAQ_1m_k12_c,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b_shape_token_range_bucket_NASDAQ_1m_k12_c,1B,NASDAQ,1m,12,,,42,"[""AAPL"", ""MSFT"", ""NVDA"", ""TSLA"", ""AMZN"", ""META"", ""GOOGL"", ""AMD"", ""INTC"", ""RKLB"", ""AVGO""]","[""NFLX"", ""PLTR""]","[""MU"", ""SOXX"", ""QQQ""]",132000,24000,36000,0.0886818181818182,0.15576262626262627,0.0191780303030303,0.029525252525252527,3.468743,3.503848,3.465786,0.195891,0.196225,0.194958,0.1373333333333333,0.2965555555555556,0.042458333333333334,0.14063888888888887,2.484184,2.386829,2.401498,0.19040151515151515,0.3175555555555556,0.0191780303030303,0.029525252525252527,5.904973,5.786859,5.789773,0.07718181818181814,0.15276262626262627,0.19665909090909092,0.3197828282828283,0.049058545661695076,0.20973451906171214,0.2147311970552247,0.21453277674993654,
