run_id,run_dir,phase,market,interval,codebook_size,split_family,split_index,split_seed,train_symbols,val_symbols,test_symbols,train_candles,val_candles,test_candles,shape_val_train_l1,shape_test_train_l1,shape_val_train_max_diff,shape_test_train_max_diff,shape_train_entropy,shape_val_entropy,shape_test_entropy,shape_train_mean_sc,shape_val_mean_sc,shape_test_mean_sc,range_val_train_l1,range_test_train_l1,range_val_train_max_diff,range_test_train_max_diff,range_train_entropy,range_val_entropy,range_test_entropy,pair_val_train_l1,pair_test_train_l1,pair_val_train_max_diff,pair_test_train_max_diff,pair_train_entropy,pair_val_entropy,pair_test_entropy,kmeans_shape_val_train_l1,kmeans_shape_test_train_l1,kmeans_pair_val_train_l1,kmeans_pair_test_train_l1,kmeans_inertia_per_sample,kmeans_shape_mean_sc_train,kmeans_shape_mean_sc_val,kmeans_shape_mean_sc_test,notes
shape_token_range_bucket_NASDAQ_1m_k12_random_14,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_14,1B,NASDAQ,1m,12,random,14,14,"[""NVDA"", ""INTC"", ""AVGO"", ""AAPL"", ""GOOGL"", ""MRVL"", ""META"", ""RKLB"", ""MU"", ""QQQ"", ""MSFT"", ""PLTR""]","[""SOXX"", ""NFLX""]","[""AMZN"", ""AMD"", ""QCOM"", ""TSLA""]",144000,24000,48000,0.3004444444444444,0.04169444444444449,0.0745625,0.007597222222222227,3.472348,3.438906,3.483129,0.196366,0.192124,0.195836,0.3316666666666666,0.16629166666666662,0.08949999999999997,0.059729166666666667,2.484184,2.245823,2.488965,0.4207777777777778,0.17779166666666663,0.0745625,0.010444444444444444,5.908334,5.484287,5.909287,0.2640277777777778,0.03886111111111114,0.416,0.17758333333333332,0.04925639512803819,0.2114486659615975,0.20316402095129504,0.21186512478773314,
shape_token_range_bucket_NASDAQ_1m_k12_random_15,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_15,1B,NASDAQ,1m,12,random,15,15,"[""MRVL"", ""AMZN"", ""QQQ"", ""INTC"", ""AMD"", ""RKLB"", ""NFLX"", ""MU"", ""META"", ""SOXX"", ""AVGO"", ""PLTR""]","[""QCOM"", ""TSLA""]","[""NVDA"", ""MSFT"", ""AAPL"", ""GOOGL""]",144000,24000,48000,0.0492222222222222,0.09333333333333332,0.00784027777777778,0.020618055555555556,3.490847,3.483663,3.463393,0.195807,0.195457,0.196337,0.14208333333333334,0.4791249999999999,0.04029166666666667,0.14452083333333332,2.484184,2.519764,2.117832,0.16186111111111112,0.5331666666666667,0.010451388888888889,0.020618055555555556,5.890839,5.926973,5.540515,0.03895833333333333,0.09174999999999997,0.1585138888888889,0.5334861111111111,0.048126074896918405,0.19387642780625494,0.19446057109991596,0.19452378760277364,
shape_token_range_bucket_NASDAQ_1m_k12_random_16,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_16,1B,NASDAQ,1m,12,random,16,16,"[""INTC"", ""MRVL"", ""RKLB"", ""NVDA"", ""AVGO"", ""MSFT"", ""META"", ""PLTR"", ""SOXX"", ""MU"", ""AAPL"", ""AMD""]","[""TSLA"", ""GOOGL""]","[""AMZN"", ""QCOM"", ""QQQ"", ""NFLX""]",144000,24000,48000,0.0851944444444444,0.10091666666666668,0.019770833333333335,0.015256944444444448,3.489802,3.448457,3.468415,0.196511,0.196308,0.195278,0.415,0.4135833333333333,0.10104166666666664,0.1893125,2.484184,2.187015,2.263791,0.4690972222222222,0.42252777777777784,0.019770833333333335,0.03031944444444444,5.899536,5.598971,5.68572,0.08668055555555555,0.09997222222222224,0.4672777777777778,0.4244027777777778,0.04873573811848958,0.19447011882688556,0.19423486918617028,0.19300879996907974,
shape_token_range_bucket_NASDAQ_1m_k12_random_17,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_17,1B,NASDAQ,1m,12,random,17,17,"[""AMD"", ""GOOGL"", ""QQQ"", ""PLTR"", ""SOXX"", ""TSLA"", ""AVGO"", ""AAPL"", ""MSFT"", ""MRVL"", ""INTC"", ""NFLX""]","[""NVDA"", ""AMZN""]","[""META"", ""RKLB"", ""MU"", ""QCOM""]",144000,24000,48000,0.10720833333333335,0.024111111111111118,0.01896527777777778,0.006777777777777778,3.487195,3.46186,3.473401,0.195809,0.196357,0.195565,0.24274999999999997,0.4863333333333334,0.06562499999999999,0.12762500000000002,2.484184,2.336278,2.49099,0.26740277777777777,0.4873333333333334,0.01896527777777778,0.017069444444444443,5.890945,5.756797,5.870449,0.10341666666666664,0.019277777777777776,0.26769444444444446,0.4877222222222223,0.04828456285264757,0.19398629287141567,0.19516552668999065,0.19427205693158803,
shape_token_range_bucket_NASDAQ_1m_k12_random_18,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_18,1B,NASDAQ,1m,12,random,18,18,"[""AMZN"", ""AAPL"", ""QQQ"", ""MSFT"", ""GOOGL"", ""PLTR"", ""INTC"", ""RKLB"", ""NVDA"", ""NFLX"", ""AVGO"", ""AMD""]","[""MU"", ""QCOM""]","[""MRVL"", ""SOXX"", ""TSLA"", ""META""]",144000,24000,48000,0.07002777777777779,0.11533333333333336,0.0115763888888889,0.03236805555555555,3.448147,3.440865,3.466591,0.197061,0.197236,0.195159,0.72825,0.05254166666666666,0.20358333333333337,0.017791666666666678,2.484184,2.303556,2.487015,0.7433611111111111,0.15140277777777778,0.032125,0.03236805555555555,5.882163,5.622248,5.81882,0.06612500000000002,0.11320833333333331,0.7335555555555555,0.15619444444444447,0.04940823025173611,0.21165637947758167,0.21417731429509781,0.21234397031088836,
shape_token_range_bucket_NASDAQ_1m_k12_random_19,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_random_19,1B,NASDAQ,1m,12,random,19,19,"[""AMD"", ""PLTR"", ""MRVL"", ""NFLX"", ""MU"", ""AVGO"", ""AAPL"", ""RKLB"", ""NVDA"", ""AMZN"", ""SOXX"", ""META""]","[""GOOGL"", ""QQQ""]","[""INTC"", ""TSLA"", ""QCOM"", ""MSFT""]",144000,24000,48000,0.06655555555555556,0.08476388888888886,0.0235,0.016854166666666667,3.486072,3.416869,3.466161,0.196805,0.196227,0.197064,0.72925,0.122375,0.30149999999999993,0.03483333333333333,2.484184,1.82251,2.524532,0.77625,0.1536111111111111,0.04481944444444445,0.016854166666666667,5.881553,5.224667,5.938239,0.06620833333333329,0.08833333333333335,0.7762777777777778,0.15213888888888888,0.048261471218532984,0.19413545158439707,0.1931823032709358,0.19449268546662501,
shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_00,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_00,1B,NASDAQ,1m,12,vol_holdout,0,0,"[""NVDA"", ""SOXX"", ""PLTR"", ""TSLA"", ""MSFT"", ""AVGO"", ""NFLX"", ""META"", ""QQQ"", ""AMZN"", ""GOOGL"", ""AAPL""]","[""QCOM"", ""INTC"", ""MRVL""]","[""AMD"", ""RKLB"", ""MU""]",144000,36000,36000,0.045583333333333344,0.13095833333333334,0.008159722222222221,0.01959722222222222,3.502017,3.495791,3.453779,0.19594,0.195622,0.197011,0.9275,0.941388888888889,0.2902777777777778,0.28105555555555556,2.484184,2.197042,2.135196,0.9420694444444444,0.9579166666666667,0.041374999999999995,0.03856944444444444,5.904586,5.531629,5.535177,0.047694444444444484,0.13258333333333336,0.9403194444444445,0.9580416666666667,0.04841583251953125,0.19396981011110814,0.19353398210168127,0.19526340574232715,
shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_01,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_01,1B,NASDAQ,1m,12,vol_holdout,1,1,"[""META"", ""NFLX"", ""NVDA"", ""QQQ"", ""TSLA"", ""GOOGL"", ""AAPL"", ""MSFT"", ""PLTR"", ""SOXX"", ""AVGO"", ""AMZN""]","[""INTC"", ""MU"", ""RKLB""]","[""AMD"", ""QCOM"", ""MRVL""]",144000,36000,36000,0.13581944444444444,0.04844444444444442,0.020402777777777777,0.006993055555555558,3.500001,3.446479,3.504517,0.198309,0.198795,0.197743,0.9922222222222223,0.8766666666666667,0.3060833333333333,0.26525,2.484184,2.083731,2.241152,0.9974027777777779,0.8995277777777778,0.043444444444444445,0.03672222222222222,5.904413,5.483716,5.584334,0.14123611111111112,0.044972222222222205,0.9969861111111111,0.8988472222222222,0.0484127197265625,0.1940180292484891,0.19452050145562624,0.19337261110288093,
shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_02,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_02,1B,NASDAQ,1m,12,vol_holdout,2,2,"[""NVDA"", ""TSLA"", ""GOOGL"", ""PLTR"", ""NFLX"", ""META"", ""AMZN"", ""AVGO"", ""MSFT"", ""SOXX"", ""QQQ"", ""AAPL""]","[""INTC"", ""MU"", ""MRVL""]","[""QCOM"", ""RKLB"", ""AMD""]",144000,36000,36000,0.08905555555555554,0.037430555555555536,0.013729166666666667,0.006173611111111116,3.482422,3.468062,3.476697,0.195511,0.196528,0.195188,0.9378333333333334,0.9310555555555556,0.27725,0.29408333333333336,2.484184,2.160799,2.180697,0.9414027777777777,0.9441111111111111,0.04460416666666667,0.04321527777777778,5.887244,5.529966,5.537456,0.09783333333333334,0.038694444444444476,0.9403611111111111,0.9434861111111112,0.048412726508246524,0.19396822473336336,0.19485102338694668,0.19406288015415887,
shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_03,/Users/choeseoggyu/portfolio/finlabs/research/notebooks/01_shape_quantization/runs/phase_1b/shape_token_range_bucket_NASDAQ_1m_k12_vol_holdout_03,1B,NASDAQ,1m,12,vol_holdout,3,3,"[""AVGO"", ""GOOGL"", ""META"", ""QQQ"", ""SOXX"", ""PLTR"", ""NVDA"", ""NFLX"", ""MSFT"", ""TSLA"", ""AAPL"", ""AMZN""]","[""AMD"", ""INTC"", ""MU""]","[""RKLB"", ""QCOM"", ""MRVL""]",144000,36000,36000,0.19945833333333335,0.09154166666666669,0.023791666666666666,0.01585416666666667,3.49161,3.418861,3.478649,0.194757,0.194426,0.192491,0.9080555555555556,0.9608333333333334,0.25022222222222223,0.3211111111111111,2.484184,2.14762,2.162658,0.9342083333333333,0.9883611111111111,0.03686111111111111,0.04638194444444444,5.89581,5.528909,5.460218,0.20251388888888888,0.0907222222222222,0.9349166666666666,0.9871111111111112,0.04841208224826389,0.19391318958546933,0.19418146925600102,0.19175544597525987,
